[2025-06-01 11:35:15.689] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":92}
[2025-06-01 11:35:15.689] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":92}
[2025-06-01 11:35:15.698] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":93}
[2025-06-01 11:35:15.698] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":93}
[2025-06-01 11:35:15.709] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":94}
[2025-06-01 11:35:15.709] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":94}
[2025-06-01 11:35:15.727] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":95}
[2025-06-01 11:35:15.727] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":95}
[2025-06-01 11:35:15.767] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":96}
[2025-06-01 11:35:15.767] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":96}
[2025-06-01 11:35:15.777] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":97}
[2025-06-01 11:35:15.777] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":97}
[2025-06-01 11:35:15.790] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":98}
[2025-06-01 11:35:15.790] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":98}
[2025-06-01 11:35:15.807] [info]  Splash.updateCountdownSeconds: undefined
[2025-06-01 11:35:15.813] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":99}
[2025-06-01 11:35:15.813] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":99}
